Year,Topic,Content,LexRank,TextRank
2007-2008,What flu viruses circulated this season?,"In the United States, influenza A (H1N1), A (H3N2) and B viruses co-circulated throughout the season. Influenza A viruses accounted for 71% of the specimens testing positive for flu by public health laboratories while influenza B viruses accounted for 29%.\nEarly in the season, influenza A (H1N1) viruses predominated, however, as the season progressed, an increasing proportion of sub-typed* influenza A viruses were influenza A (H3N2) viruses. Late in the season, when overall influenza activity was declining, influenza B viruses were more commonly reported than influenza A viruses. Overall, for the 2007-2008 U.S. flu season, influenza A (H3N2) viruses were most commonly reported.\n* Subtyping is the process of identifying an influenza A virus by its genetic and antigenic (biological) properties to determine if it is an influenza A (H3N2) or influenza A (H1N1) virus. Flu A viruses are subtyped in public health laboratories, such as state department of health laboratories and CDC Influenza Division laboratories.","Flu A viruses are subtyped in public health laboratories, such as state department of health laboratories and CDC Influenza Division laboratories.","Influenza A viruses accounted for 71% of the specimens testing positive for flu by public health laboratories while influenza B viruses accounted for 29%.\nEarly in the season, influenza A (H1N1) viruses predominated, however, as the season progressed, an increasing proportion of sub-typed* influenza A viruses were influenza A (H3N2) viruses."
2007-2008,Why were two of the three strains in this season�s flu vaccine less than optimally matched to circulating viruses?,"Flu viruses are always changing. They can change from the time the vaccine is recommended and the beginning of the flu season, or they can even change during a flu season. Each year, experts study thousands of flu virus samples from around the world to figure out which viruses are making people sick and how these viruses are changing. With this information, they forecast which three viruses are most likely to make the most people sick during the next flu season. Each year, the seasonal influenza vaccine contains three influenza virus strains � one influenza A (H3N2) virus, one influenza A (H1N1) virus, and one influenza B virus. The selection of which viruses to include in the vaccine must be made in February of the prior year in order for vaccine to be produced in time for distribution the following season. For this reason, there is always the possibility of a less than optimal match between viruses in the vaccine and circulating viruses. For more information about the vaccine strain selection process, visit Selecting the Viruses in the Influenza (Flu) Vaccine.\nIn terms of the influenza A (H3N2) virus strain selection for the 2007-2008 vaccine, in February of 2007, there were few influenza A (H3N2) virus samples available to guide the selection of the H3N2 vaccine component. While the H3N2 A/Brisbane-like virus that became the predominant virus in the U.S. this season first emerged in Australia in 2007, there was no clear indication that this virus would become the predominant virus causing illness. In addition, there were very few influenza A (H3N2) samples and nothing suitable as a strain for vaccine production. For this reason, the World Health Organization and the Vaccines and Related Biologicals Advisory Committee in the U.S. Food and Drug Administration recommended that the influenza A (H3N2) component of the 2007-2008 influenza vaccine would remain the same as the previous season because influenza A (H3N2) viruses similar to the vaccine strain were still circulating and no other candidate reference strains were available. CDC continued to monitor this situation closely and frequently updated information on circulating strains and public health and public education guidance based on this information throughout the season.\nIn terms of the selection of the B/Yamagata lineage for inclusion in the 2007-2008 vaccine, in February 2007, both B/Yamagata and B/Victoria viruses were co-circulating, however the B/Victoria lineage was predominant at the time. B/Victoria and B/Yamagata viruses are antigenically and genetically far apart. With two co-circulating B lineages, it�s more difficult to forecast which B lineage will predominate for the next season. At the time the vaccine virus selection decision was made, is was not yet clear that B/Yamagata viruses would become the predominant B viruses circulating in the United States this season.","At the time the vaccine virus selection decision was made, is was not yet clear that B/Yamagata viruses would become the predominant B viruses circulating in the United States this season.","For this reason, the World Health Organization and the Vaccines and Related Biologicals Advisory Committee in the U.S. Food and Drug Administration recommended that the influenza A (H3N2) component of the 2007-2008 influenza vaccine would remain the same as the previous season because influenza A (H3N2) viruses similar to the vaccine strain were still circulating and no other candidate reference strains were available.
CDC continued to monitor this situation closely and frequently updated information on circulating strains and public health and public education guidance based on this information throughout the season.\nIn terms of the selection of the B/Yamagata lineage for inclusion in the 2007-2008 vaccine, in February 2007, both B/Yamagata and B/Victoria viruses were co-circulating, however the B/Victoria lineage was predominant at the time.
At the time the vaccine virus selection decision was made, is was not yet clear that B/Yamagata viruses would become the predominant B viruses circulating in the United States this season."
2007-2008,Can the vaccine provide protection even if the vaccine is not a �good� match?,"Yes, antibodies made in response to vaccination with one strain of influenza viruses can provide protection against different, but related strains. A less than ideal match may result in reduced vaccine effectiveness against the variant viruses, but it can still provide enough protection to prevent or lessen illness severity and prevent flu-related complications. In addition, it�s important to remember that the influenza vaccine contains three virus strains so that even when there is a less than ideal match or lower effectiveness against one strain, the vaccine may protect against the other two viruses. For these reasons, even during seasons when there is a less than ideal match, CDC continues to recommend influenza vaccination. This is particularly important for people at high risk for serious flu complications and their close contacts.","For these reasons, even during seasons when there is a less than ideal match, CDC continues to recommend influenza vaccination.","A less than ideal match may result in reduced vaccine effectiveness against the variant viruses, but it can still provide enough protection to prevent or lessen illness severity and prevent flu-related complications."
2008-2009,What was the 2009-2010 flu season like?,"Flu seasons are unpredictable in a number of ways, including when they begin, how severe they are, how long they last and which viruses will spread. There were more uncertainties than usual going into the 2009-2010 flu season because of the emergence of the 2009 H1N1 influenza virus (previously called �novel H1N1� or �swine flu�) in the spring of 2009. This virus caused the first influenza pandemic (global outbreak of disease caused by a novel influenza virus) in more than 40 years. The United States experienced its first wave of 2009 H1N1 activity in the spring of 2009, followed by a second, larger wave of 2009 H1N1 activity in the fall and winter, during typical �flu season� time for the U.S. For information about 2009 H1N1 flu, visit the CDC 2009 H1N1 Flu website.","The United States experienced its first wave of 2009 H1N1 activity in the spring of 2009, followed by a second, larger wave of 2009 H1N1 activity in the fall and winter, during typical �flu season� time for the U.S. For information about 2009 H1N1 flu, visit the CDC 2009 H1N1 Flu website.",
2008-2009,When did the flu season peak?,"The weekly percentage of outpatient visits for influenza-like illness (ILI) peaked at the end of October at 7.6%, a level higher than the three previous influenza seasons, as reported by the U.S. Outpatient ILI Surveillance Network (ILINet). This percentage decreased to 1.0% by the middle of May, 2010. The number of states reporting widespread influenza activity peaked at 49 at the end of October, and decreased to zero by the beginning of January. By the middle of May, no states were reporting widespread or regional influenza activity and most states were reporting sporadic or no flu activity. In most years, seasonal influenza activity peaks in January or February. (See�graph of peak influenza activity by month in the United States from 1976-2009.)",(See�graph of peak influenza activity by month in the United States from 1976-2009.),"The number of states reporting widespread influenza activity peaked at 49 at the end of October, and decreased to zero by the beginning of January."
2008-2009,How severe was the season?,"2009 H1N1 activity was relatively more severe among people younger than 65 years of age compared with non-pandemic influenza seasons. Influenza activity was associated with significantly higher pediatric mortality, and higher rates of hospitalizations in children and young adults than previous seasons. The 2009-10 influenza season was relatively less severe among people 65 years and older than compared with usual flu seasons. Like seasonal flu, people with certain chronic medical conditions were at greater risk of serious flu complications during the 2009-10 pandemic season, including hospitalizations and deaths. In fact, an estimated 80% of adult hospitalizations and 65% of child hospitalizations related to 2009 H1N1 occurred in people with one or more underlying medical conditions1. Additional information about severity of the 2009-2010 season can be found in the�MMWR�article",Additional information about severity of the 2009-2010 season can be found in the�MMWR�article,2009 H1N1 activity was relatively more severe among people younger than 65 years of age compared with non-pandemic influenza seasons.
2008-2009,How is severity characterized?,"The overall health impact (e.g., illnessess, hospitalizations and deaths) of a flu season varies from year to year. Based on available data from U.S. influenza surveillance systems monitored and reported by CDC, the severity of a flu season can be judged according to a variety of criteria, including:\nThe number and proportion of flu laboratory tests that are positive;\nThe proportion of visits to physicians for influenza-like illness (ILI);\nThe proportion of all deaths that are caused by pneumonia and flu;\nThe number of flu-associated deaths among children; and\nThe flu-associated hospitalization rate among children and adults.\nA season�s severity is determined by assessing several of these measures and by comparing them with previous seasons.","Based on available data from U.S. influenza surveillance systems monitored and reported by CDC, the severity of a flu season can be judged according to a variety of criteria, including:\nThe number and proportion of flu laboratory tests that are positive;\nThe proportion of visits to physicians for influenza-like illness (ILI);\nThe proportion of all deaths that are caused by pneumonia and flu;\nThe number of flu-associated deaths among children; and\nThe flu-associated hospitalization rate among children and adults.\nA season�s severity is determined by assessing several of these measures and by comparing them with previous seasons.",
2008-2009,How effective is the seasonal flu vaccine?,"The ability of flu vaccine to protect a person depends on two things: 1) the age and health status of the person getting vaccinated, and 2) the similarity or �match� between the virus strains in the vaccine and those circulating in the community. If the viruses in the vaccine and the influenza viruses circulating in the community are closely matched, vaccine effectiveness is higher. If they are not closely matched, vaccine effectiveness can be reduced. However, it�s important to remember that even when the viruses are not closely matched, the vaccine can still protect many people and prevent flu-related complications. Such protection is possible because antibodies made in response to the vaccine can provide some protection (called cross-protection) against different, but related strains of influenza viruses. The vaccine may be somewhat less effective in elderly persons and very young children, but vaccination can still prevent serious complications from the flu.","The vaccine may be somewhat less effective in elderly persons and very young children, but vaccination can still prevent serious complications from the flu.","However, it�s important to remember that even when the viruses are not closely matched, the vaccine can still protect many people and prevent flu-related complications."
2008-2009,What did CDC do to monitor effectiveness of flu vaccines for the 2009-10 season?,Every year CDC carries out evaluations and collaborates with outside partners to assess the effectiveness of seasonal flu vaccines.,Every year CDC carries out evaluations and collaborates with outside partners to assess the effectiveness of seasonal flu vaccines.,
2008-2009,Were last season�s vaccines a good match for circulating viruses?,"Flu viruses are constantly changing (called antigenic drift) � they often change from one season to the next or they can even change within the course of one flu season. Experts must pick which viruses to include in the vaccine many months in advance in order for vaccine to be produced and delivered on time. (For more information about the seasonal flu vaccine virus selection process, visit�Selecting the Viruses in the Influenza (Flu) Vaccine.) Because of these factors, there is always the possibility of a less than optimal match between circulating flu viruses and the viruses in the seasonal flu vaccine.","Because of these factors, there is always the possibility of a less than optimal match between circulating flu viruses and the viruses in the seasonal flu vaccine.",
2008-2009,Why were two vaccines needed last season?,"The 2009-2010 season was very unusual. The emergence of a new and very different H1N1 virus meant that two vaccines were needed: one to prevent seasonal influenza viruses that were anticipated to spread and another to prevent influenza caused by the newly emerged 2009 H1N1 virus. As usual, components of the seasonal flu vaccine were decided upon well in advance of the season and vaccine production was well underway by the time the new 2009 H1N1 virus emerged. If the 2009 H1N1 virus had emerged sooner, it would have been included in the seasonal vaccine. Therefore, a second flu vaccine was created to protect against the new flu virus. 2009 H1N1 was by far the dominant virus in circulation last season, and the 2009 H1N1 vaccine was a very good match; 99.5% of the 2009 H1N1 virus specimens tested during the season were related to the virus used to develop the 2009 H1N1 vaccine.\nThe 2010-2011 seasonal flu vaccine will protect against the 2009 H1N1 virus and 2 other flu viruses.","2009 H1N1 was by far the dominant virus in circulation last season, and the 2009 H1N1 vaccine was a very good match; 99.5% of the 2009 H1N1 virus specimens tested during the season were related to the virus used to develop the 2009 H1N1 vaccine.\nThe 2010-2011 seasonal flu vaccine will protect against the 2009 H1N1 virus and 2 other flu viruses.","As usual, components of the seasonal flu vaccine were decided upon well in advance of the season and vaccine production was well underway by the time the new 2009 H1N1 virus emerged."
2008-2009,What did CDC do to monitor antiviral resistance in the United States during the 2009-10 season?,"Antiviral resistance means that a virus has changed in such a way that antiviral drugs have become less effective in treating or preventing illnesses caused by the virus. Samples of viruses collected from around the United States and the world are studied to determine if they are resistant to any of the four FDA-approved influenza antiviral drugs.\nCDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses. CDC conducted surveillance and testing of seasonal influenza viruses and 2009 H1N1 influenza viruses to check for antiviral resistance. CDC also implemented enhanced surveillance across the United States to monitor resistance in 2009 H1N1 viruses. By the end of the 2009-2010 season, almost all (98.9%) of the 2009 H1N1 influenza viruses tested for antiviral resistance at CDC were susceptible to oseltamivir (Tamiflu�), and all of the viruses tested were susceptible to zanamivir (Relenza�). CDC also worked with the state public health departments and the World Health Organization to collect additional information on antiviral resistance in the United States and worldwide. The information collected assisted in making informed public health policy recommendations.",CDC also worked with the state public health departments and the World Health Organization to collect additional information on antiviral resistance in the United States and worldwide.,Samples of viruses collected from around the United States and the world are studied to determine if they are resistant to any of the four FDA-approved influenza antiviral drugs.\nCDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses.
2010-2011,What was the 2010-2011 flu season like?,"In comparison to the last three seasons, the 2010-2011 influenza season was less severe than both the pandemic year (2009-2010) and the 2007-2008 season, but more severe than the 2008-2009 influenza season, as determined by the percentage of deaths resulting from pneumonia or influenza, the number of influenza-associated pediatric deaths reported, adult and pediatric hospitalization rates, and the percentage of visits to outpatient clinics for influenza-like illness (ILI).\nOverall, during the 2010-2011 influenza season, the most commonly reported viruses were influenza A (H3N2), but 2009 influenza A (H1N1) viruses and influenza B viruses circulated as well. Because a certain age group may be hit harder by one type of influenza virus than another (for example, the 2009 H1N1 virus has disproportionately affected people younger than 65 years of age than those older than 65 whereas H3N2 virus often affects those older than 65 years), the 2010-2011 influenza season had a substantial health effect on every age group.\nFlu seasons are unpredictable in a number of ways, including when they begin, how severe they are, how long they last, which viruses will spread, and whether the viruses in the vaccine match flu viruses that are circulating.\nAdditional information about flu activity during the 2010-2011 season can be found in the MMWR article","Because a certain age group may be hit harder by one type of influenza virus than another (for example, the 2009 H1N1 virus has disproportionately affected people younger than 65 years of age than those older than 65 whereas H3N2 virus often affects those older than 65 years), the 2010-2011 influenza season had a substantial health effect on every age group.\nFlu seasons are unpredictable in a number of ways, including when they begin, how severe they are, how long they last, which viruses will spread, and whether the viruses in the vaccine match flu viruses that are circulating.\nAdditional information about flu activity during the 2010-2011 season can be found in the MMWR article",
2010-2011,When did the flu season peak?,"During the 2010-2011 influenza season, overall influenza activity peaked in early February. Flu seasons most often peaks in January or February in the United States. (See graph of peak influenza activity by month in the United States from 1976-2009.)\nThe weekly percentage of outpatient visits for influenza-like illness (ILI), as reported by the U.S. Outpatient ILI Surveillance Network (ILINet), peaked in mid-February at 4.6%. This is comparable to the peaks seen in the two seasons prior to the 2009 H1N1 pandemic, which ranged from 3.5% to 6.0% and occurred in mid-to-late February. During the pandemic year, ILI peaked in late October at 7.7%.\nThe number of states reporting widespread or regional* influenza activity peaked at 49 at the end of February and decreased to zero by the middle of April. The peak number of states reporting widespread or regional activity during the previous three seasons has ranged from 49 to 50 states.\n*Regional activity is defined as increased ILI or flu outbreaks and recent laboratory-confirmed flu in at least two but less than half of the regions in a state with recent laboratory evidence of flu in those regions. Widespread flu activity is defined as increased ILI or flu outbreaks and recent laboratory-confirmed flu in at least half of the regions in a state with recent laboratory evidence of flu in the state.",Widespread flu activity is defined as increased ILI or flu outbreaks and recent laboratory-confirmed flu in at least half of the regions in a state with recent laboratory evidence of flu in the state.,The peak number of states reporting widespread or regional activity during the previous three seasons has ranged from 49 to 50 states.\n*Regional activity is defined as increased ILI or flu outbreaks and recent laboratory-confirmed flu in at least two but less than half of the regions in a state with recent laboratory evidence of flu in those regions.
2010-2011,How severe was the season?,"Overall, the 2010-2011 season was less severe than the 2009-2010 pandemic season and the 2007-2008 season, but more severe than the 2008-2009 season. Additional information about severity of the 2010-2011 season can be found in the MMWR article",Additional information about severity of the 2010-2011 season can be found in the MMWR article,
2010-2011,How is severity characterized?,"The overall health impact (e.g., illnesses, hospitalizations and deaths) of a flu season varies from year to year. Based on available data from U.S. influenza surveillance systems monitored and reported by CDC, the severity of a flu season can be judged according to a variety of criteria, including:\nThe number and proportion of flu laboratory tests that are positive;\nThe proportion of visits to physicians for influenza-like illness (ILI);\nThe proportion of all deaths that are caused by pneumonia and flu;\nThe number of flu-associated deaths among children; and\nThe flu-associated hospitalization rate among children and adults.\nA season�s severity is determined by assessing several of these measures and by comparing them with previous seasons.","Based on available data from U.S. influenza surveillance systems monitored and reported by CDC, the severity of a flu season can be judged according to a variety of criteria, including:\nThe number and proportion of flu laboratory tests that are positive;\nThe proportion of visits to physicians for influenza-like illness (ILI);\nThe proportion of all deaths that are caused by pneumonia and flu;\nThe number of flu-associated deaths among children; and\nThe flu-associated hospitalization rate among children and adults.\nA season�s severity is determined by assessing several of these measures and by comparing them with previous seasons.",
2010-2011,What flu viruses circulated this season?,"Although influenza A (H3N2) viruses predominated in the United States during the 2010-2011 season, high levels of 2009 influenza A (H1N1) and influenza B viruses circulated as well. The relative proportion of each virus type and subtype varied by geographic region and week during the influenza season.\nEarly in the season, the proportion of influenza B viruses was the greatest (primarily in the southeastern states); however, as the season progressed, an increasing proportion of sub-typed* influenza A viruses were found to be influenza A (H1N1) viruses in several regions. Overall, however, influenza A (H3N2) viruses were most commonly reported during the 2010-2011 flu season in the United States.\n* Subtyping is the process of identifying an influenza A virus by its genetic and antigenic (biological) properties to determine if it is an influenza A (H3N2) or influenza A (H1N1) virus. Influenza A viruses are subtyped in public health laboratories, such as state department of health laboratories and CDC Influenza Division laboratories.","Influenza A viruses are subtyped in public health laboratories, such as state department of health laboratories and CDC Influenza Division laboratories.",
2010-2011,How effective is the seasonal flu vaccine?,"The effectiveness of the seasonal flu vaccine can vary from year to year and among different age and risk groups. In general, the highest vaccine effectiveness is seen among young healthy adults and older children. Lower vaccine effectiveness is reported for young children (e.g., those younger than 2 years of age), and older adults with only one randomized trial conducted in adults 60 years and older. Vaccine effectiveness also depends on the degree to which influenza vaccine viruses are well matched to circulating influenza viruses. Lower effectiveness is expected in years when the match between circulating and vaccine viruses are suboptimal. In healthy adults younger than 65 years of age, the flu vaccine can also prevent lost work days, and keep you from having to see the doctor or using unnecessary antibiotics.","In healthy adults younger than 65 years of age, the flu vaccine can also prevent lost work days, and keep you from having to see the doctor or using unnecessary antibiotics.","Lower vaccine effectiveness is reported for young children (e.g., those younger than 2 years of age), and older adults with only one randomized trial conducted in adults 60 years and older."
2010-2011,What did CDC do to monitor effectiveness of flu vaccines for the 2010-2011 season?,"Every year CDC carries out evaluations and collaborates with outside partners to assess the effectiveness of seasonal flu vaccines. CDC is currently conducting annual vaccine effectiveness studies among persons of all age groups recommended for annual vaccination (i.e., all aged 6 months and older). In addition, CDC conducts special studies targeted at answering more specific questions, such as the effectiveness of inactivated vaccine in preventing laboratory-confirmed influenza hospitalizations among older U.S. residents.","In addition, CDC conducts special studies targeted at answering more specific questions, such as the effectiveness of inactivated vaccine in preventing laboratory-confirmed influenza hospitalizations among older U.S. residents.",
