Year,Topic,Content,LexRank,TextRank,Pegasus,Bart,Content_Length,Word_Count
2008-2009,Why were two vaccines needed last season?,"The 2009-2010 season was very unusual. The emergence of a new and very different H1N1 virus meant that two vaccines were needed: one to prevent seasonal influenza viruses that were anticipated to spread and another to prevent influenza caused by the newly emerged 2009 H1N1 virus. As usual, components of the seasonal flu vaccine were decided upon well in advance of the season and vaccine production was well underway by the time the new 2009 H1N1 virus emerged. If the 2009 H1N1 virus had emerged sooner, it would have been included in the seasonal vaccine. Therefore, a second flu vaccine was created to protect against the new flu virus. 2009 H1N1 was by far the dominant virus in circulation last season, and the 2009 H1N1 vaccine was a very good match; 99.5% of the 2009 H1N1 virus specimens tested during the season were related to the virus used to develop the 2009 H1N1 vaccine.\nThe 2010-2011 seasonal flu vaccine will protect against the 2009 H1N1 virus and 2 other flu viruses.","2009 H1N1 was by far the dominant virus in circulation last season, and the 2009 H1N1 vaccine was a very good match; 99.5% of the 2009 H1N1 virus specimens tested during the season were related to the virus used to develop the 2009 H1N1 vaccine.\nThe 2010-2011 seasonal flu vaccine will protect against the 2009 H1N1 virus and 2 other flu viruses.","As usual, components of the seasonal flu vaccine were decided upon well in advance of the season and vaccine production was well underway by the time the new 2009 H1N1 virus emerged.","2009 H1N1 was by far the dominant virus in circulation last season, and the 2009 H1N1 vaccine was a very good match; 99.5% of the 2009 H1N1 virus specimens tested during the season were related to the virus used to develop the 2009 H1N1 vaccine.nThe 2010-2011 seasonal flu vaccine will protect against the 2009 H1N1 virus and 2 other flu viruses.",The 2009-2010 season was very unusual. The emergence of a new and very different H1N1 virus meant that two vaccines were needed. The 2010-2011 seasonal flu vaccine will protect against the 2009 H1n1 virus and 2 other flu viruses.,989,170
2008-2009,What did CDC do to monitor antiviral resistance in the United States during the 2009-10 season?,"Antiviral resistance means that a virus has changed in such a way that antiviral drugs have become less effective in treating or preventing illnesses caused by the virus. Samples of viruses collected from around the United States and the world are studied to determine if they are resistant to any of the four FDA-approved influenza antiviral drugs.\nCDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses. CDC conducted surveillance and testing of seasonal influenza viruses and 2009 H1N1 influenza viruses to check for antiviral resistance. CDC also implemented enhanced surveillance across the United States to monitor resistance in 2009 H1N1 viruses. By the end of the 2009-2010 season, almost all (98.9%) of the 2009 H1N1 influenza viruses tested for antiviral resistance at CDC were susceptible to oseltamivir (Tamiflu�), and all of the viruses tested were susceptible to zanamivir (Relenza�). CDC also worked with the state public health departments and the World Health Organization to collect additional information on antiviral resistance in the United States and worldwide. The information collected assisted in making informed public health policy recommendations.",CDC also worked with the state public health departments and the World Health Organization to collect additional information on antiviral resistance in the United States and worldwide.,Samples of viruses collected from around the United States and the world are studied to determine if they are resistant to any of the four FDA-approved influenza antiviral drugs.\nCDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses.,Samples of viruses collected from around the United States and the world are studied to determine if they are resistant to any of the four FDA-approved influenza antiviral drugs.nCDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses.,Antiviral resistance means that a virus has changed in such a way that antiviral drugs have become less effective in treating or preventing illnesses caused by the virus. Almost all (98.9%) of the 2009 H1N1 influenza viruses tested for antiviral resistance at CDC were susceptible to oseltamivir (Tamiflu),1246,185
2010-2011,When did the flu season peak?,"During the 2010-2011 influenza season, overall influenza activity peaked in early February. Flu seasons most often peaks in January or February in the United States. (See graph of peak influenza activity by month in the United States from 1976-2009.)\nThe weekly percentage of outpatient visits for influenza-like illness (ILI), as reported by the U.S. Outpatient ILI Surveillance Network (ILINet), peaked in mid-February at 4.6%. This is comparable to the peaks seen in the two seasons prior to the 2009 H1N1 pandemic, which ranged from 3.5% to 6.0% and occurred in mid-to-late February. During the pandemic year, ILI peaked in late October at 7.7%.\nThe number of states reporting widespread or regional* influenza activity peaked at 49 at the end of February and decreased to zero by the middle of April. The peak number of states reporting widespread or regional activity during the previous three seasons has ranged from 49 to 50 states.\n*Regional activity is defined as increased ILI or flu outbreaks and recent laboratory-confirmed flu in at least two but less than half of the regions in a state with recent laboratory evidence of flu in those regions. Widespread flu activity is defined as increased ILI or flu outbreaks and recent laboratory-confirmed flu in at least half of the regions in a state with recent laboratory evidence of flu in the state.",Widespread flu activity is defined as increased ILI or flu outbreaks and recent laboratory-confirmed flu in at least half of the regions in a state with recent laboratory evidence of flu in the state.,The peak number of states reporting widespread or regional activity during the previous three seasons has ranged from 49 to 50 states.\n*Regional activity is defined as increased ILI or flu outbreaks and recent laboratory-confirmed flu in at least two but less than half of the regions in a state with recent laboratory evidence of flu in those regions.,"During the pandemic year, ILI peaked in late October at 7.7%.nThe number of states reporting widespread or regional* influenza activity peaked at 49 at the end of February and decreased to zero by the middle of April.","Flu seasons most often peaks in January or February in the United States. During the 2010-2011 influenza season, overall influenza activity peaked in early February. The weekly percentage of outpatient visits for influenza-like illness (ILI) peaked in mid-February at 4.6%.",1362,220
2010-2011,How effective is the seasonal flu vaccine?,"The effectiveness of the seasonal flu vaccine can vary from year to year and among different age and risk groups. In general, the highest vaccine effectiveness is seen among young healthy adults and older children. Lower vaccine effectiveness is reported for young children (e.g., those younger than 2 years of age), and older adults with only one randomized trial conducted in adults 60 years and older. Vaccine effectiveness also depends on the degree to which influenza vaccine viruses are well matched to circulating influenza viruses. Lower effectiveness is expected in years when the match between circulating and vaccine viruses are suboptimal. In healthy adults younger than 65 years of age, the flu vaccine can also prevent lost work days, and keep you from having to see the doctor or using unnecessary antibiotics.","In healthy adults younger than 65 years of age, the flu vaccine can also prevent lost work days, and keep you from having to see the doctor or using unnecessary antibiotics.","Lower vaccine effectiveness is reported for young children (e.g., those younger than 2 years of age), and older adults with only one randomized trial conducted in adults 60 years and older.","Lower vaccine effectiveness is reported for young children (e.g., those younger than 2 years of age), and older adults with only one randomized trial conducted in adults 60 years and older.","The effectiveness of the seasonal flu vaccine can vary from year to year. In general, the highest vaccine effectiveness is seen among young healthy adults and older children. Vaccine effectiveness also depends on the degree to which influenza vaccine viruses are well matched.",825,132
2010-2011,What did CDC do to monitor antiviral resistance in the United States during the 2010-11 season?,Antiviral resistance means that a virus has changed in such a way that antiviral drugs have become less effective in treating or preventing illnesses caused by the virus. Samples of viruses collected from around the United States and the world are studied to determine if they are resistant to any of the four FDA-approved influenza antiviral drugs.\nCDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses. CDC conducted surveillance and testing of influenza viruses to check for antiviral resistance. CDC also worked with the state public health departments and the World Health Organization to collect additional information on antiviral resistance in the United States and worldwide. The information collected assisted in making informed public health policy recommendations.,CDC also worked with the state public health departments and the World Health Organization to collect additional information on antiviral resistance in the United States and worldwide.,Samples of viruses collected from around the United States and the world are studied to determine if they are resistant to any of the four FDA-approved influenza antiviral drugs.\nCDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses.,Samples of viruses collected from around the United States and the world are studied to determine if they are resistant to any of the four FDA-approved influenza antiviral drugs.nCDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses.,CDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses. Antiviral resistance means that a virus has changed in such a way that antiviral drugs have become less effective in treating or preventing illnesses caused by the virus.,848,125
2010-2011,Were infections with unusual influenza viruses detected in 2010-2011?,"Five reports of human infections with swine origin influenza A (H3N2) viruses occurred during the 2010-2011 season. These cases were identified in Minnesota, Pennsylvania and Wisconsin. No epidemiologic links between these cases have been identified and the viruses from all five cases have genetic differences indicating different sources of infection. All five patients have fully recovered from their illnesses.\nIn 2007, human infection with a novel influenza A virus became a nationally notifiable condition. Novel influenza A virus infections include all human infections with influenza A viruses that are different from currently circulating human influenza H1 and H3 viruses. These viruses include those that are subtyped as nonhuman in origin. More information on influenza surveillance in the United States can be found on CDC�s influenza website.",Novel influenza A virus infections include all human infections with influenza A viruses that are different from currently circulating human influenza H1 and H3 viruses.,Novel influenza A virus infections include all human infections with influenza A viruses that are different from currently circulating human influenza H1 and H3 viruses.,Novel influenza A virus infections include all human infections with influenza A viruses that are different from currently circulating human influenza H1 and H3 viruses.,Five reports of human infections with swine origin influenza A (H3N2) viruses occurred during the 2010-2011 season. No epidemiologic links between these cases have been identified. All five patients have fully recovered from their illnesses.,857,125
2011-2012,When did the 2011-2012 flu season peak?,"Influenza-like illness (ILI) in the United States typically begins to increase in late December or early January and peaks in February most commonly. During the 2011-2012 season, ILI remained low through February and did not peak until mid-March. Also, ILI reached the baseline for only 1 week during the season. This is the first time since CDC started this kind of ILI surveillance that the percentage of patient visits for ILI was elevated for only one week of the season. In past seasons, ILI has remained above baseline for between 8 and 20 weeks, with an average of 13 weeks at or above baseline each season since this type of surveillance began in 1997-1998. In terms of ILI, this not only the shortest time at or above baseline, but it�s also the lowest �peak� ever recorded. (A more detailed description of influenza-like illness surveillance in the United States is available at Overview of Influenza Surveillance in the United States.)",(A more detailed description of influenza-like illness surveillance in the United States is available at Overview of Influenza Surveillance in the United States.),"In past seasons, ILI has remained above baseline for between 8 and 20 weeks, with an average of 13 weeks at or above baseline each season since this type of surveillance began in 1997-1998.",(A more detailed description of influenza-like illness surveillance in the United States is available at Overview of Influenza Surveillance in the United States.),"Influenza-like illness (ILI) in the United States typically begins to increase in late December or early January and peaks in February most commonly. During the 2011-2012 season, ILI remained low through February and did not peak until mid-March. ILI reached the baseline for only 1 week during the season.",946,159
2011-2012,Can VE be higher for flu vaccine? Why is flu vaccine recommended when VE for the 2011-2012 season vaccine was about 50%?,"The current influenza vaccine is recommended because it is the best way to prevent influenza infections. The substantial burden of influenza-associated illness and death in the United States, combined with overall evidence from a variety of studies, has shown that influenza vaccines do offer protection against influenza illness even when VE is about 50%. Efforts are underway to improve influenza vaccines. The public health community and the federal government are investing in and supporting the development of new and improved influenza vaccines. (For more information on new vaccine research initiatives, contact HHS Biomedical Advanced Research and Development Authority (BARDA). In the meantime, influenza vaccine is the best tool we have to protect as many people as possible against influenza.",The public health community and the federal government are investing in and supporting the development of new and improved influenza vaccines.,The public health community and the federal government are investing in and supporting the development of new and improved influenza vaccines.,The public health community and the federal government are investing in and supporting the development of new and improved influenza vaccines.,The current influenza vaccine is recommended because it is the best way to prevent influenza infections. The public health community and the federal government are investing in and supporting the development of new and improved influenza vaccines.,803,119
2011-2012,What factors influence flu vaccine effectiveness?,"How well the flu vaccine works (or its ability to prevent influenza illness) can range widely from season to season and also can vary depending on who is being vaccinated. At least two factors play an important role in determining the likelihood that influenza vaccine will protect a person from influenza illness: 1) characteristics of the person being vaccinated (such as their age and health), and 2) the similarity or �match� between the influenza viruses in the vaccine and those spreading in the community. During years when the viruses in the vaccine and circulating viruses are not well matched, it�s possible that no benefit from vaccination may be observed. During years when the viruses in the vaccine and circulating viruses are very well matched, it�s possible to measure substantial benefits from vaccination in terms of preventing influenza illness. However, even during years when the vaccine match is very good, the benefits of vaccination will vary across the population, depending on characteristics of the person being vaccinated and even, potentially, which vaccine was used.\nResearchers try to determine how well a vaccine works in order to continually assess and confirm the value of influenza vaccines as a public health intervention. Study results about how well a flu vaccine works can vary based on study design, outcome(s) measured, population studied and the season in which the vaccine was studied. These differences can make it difficult to compare one study�s results with another�s.\nWhile determining how well a flu vaccine works is challenging, in general, recent studies have supported the conclusion that influenza vaccination benefits public health, especially when the viruses in the vaccine and circulating viruses are well-matched.","These differences can make it difficult to compare one study�s results with another�s.\nWhile determining how well a flu vaccine works is challenging, in general, recent studies have supported the conclusion that influenza vaccination benefits public health, especially when the viruses in the vaccine and circulating viruses are well-matched.","These differences can make it difficult to compare one study�s results with another�s.\nWhile determining how well a flu vaccine works is challenging, in general, recent studies have supported the conclusion that influenza vaccination benefits public health, especially when the viruses in the vaccine and circulating viruses are well-matched.","During years when the viruses in the vaccine and circulating viruses are very well matched, it s possible to measure substantial benefits from vaccination in terms of preventing influenza illness.",How well the flu vaccine works can range widely from season to season. It can also vary depending on who is being vaccinated. At least two factors play an important role in determining the likelihood that influenza vaccine will protect a person.,1773,274
2011-2012,What did CDC do to monitor effectiveness of flu vaccines for the 2011-2012 season?,"Scientists continued to work on better ways to design, conduct and evaluate non-randomized (i.e., observational) studies to assess how well flu vaccines work. CDC has been working with researchers at universities and hospitals since the 2003-2004 influenza season to estimate how well influenza vaccine works through observational studies using laboratory-confirmed influenza as the outcome. These studies currently use laboratory-confirmed medically-attended influenza virus infections as a specific outcome. CDC�s studies are conducted in five sites across the United States to gather more representative data. To assess how well the vaccine works across different age groups, CDC�s studies of vaccine effects have included all people aged 6 months and older recommended at that time for an annual influenza vaccination. Similar studies are being done in Australia, Canada and Europe.","Similar studies are being done in Australia, Canada and Europe.",CDC has been working with researchers at universities and hospitals since the 2003-2004 influenza season to estimate how well influenza vaccine works through observational studies using laboratory-confirmed influenza as the outcome.,CDC has been working with researchers at universities and hospitals since the 2003-2004 influenza season to estimate how well influenza vaccine works through observational studies using laboratory-confirmed influenza as the outcome.,"CDC has been working with researchers at universities and hospitals since the 2003-2004 influenza season. Scientists continued to work on better ways to design, conduct and evaluate non-randomized (i.e., observational) studies to assess how well flu vaccines work.",886,127
